Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3,Elevation
-8,0,0,-0.100000002,90.0000025,0,90.0000025,0
-7.9,1.72E-07,5.62E-08,-0.099999942,89.99999567,-0.001072135,90.0000025,1.99E-07
-7.8,2.46E-06,7.30E-07,-0.099999897,89.99990005,-0.0165114,89.99998884,6.79E-07
-7.7,9.87E-06,2.66E-06,-0.10000208,89.99955171,-0.070840361,89.99996152,-8.66E-07
-7.6,2.50E-05,6.09E-06,-0.100011103,89.9987799,-0.191433367,89.99990005,-9.74E-06
-7.5,4.90E-05,1.06E-05,-0.100033082,89.99749583,-0.404151711,89.99984541,-3.42E-05
-7.4,8.15E-05,1.48E-05,-0.100074336,89.99576096,-0.729272638,89.99992054,-8.49E-05
-7.3,1.19E-04,1.57E-05,-0.100139961,89.99388949,-1.17790038,90.00024839,-1.73E-04
-7.2,1.55E-04,8.83E-06,-0.100232445,89.99246198,-1.74906908,90.00091092,-3.06E-04
-7.1,1.80E-04,-1.22E-05,-0.100350753,89.99222975,-2.427700454,90.00182616,-4.88E-04
-7,1.85E-04,-5.45E-05,-0.100490198,89.99401926,-3.183522571,90.00263896,-7.12E-04
-6.9,1.58E-04,-1.24E-04,-0.100643382,89.99843839,-3.971004108,90.00270726,-9.62E-04
-6.8,9.16E-05,-2.25E-04,-0.100802071,90.00567156,-4.730301724,90.00125243,-0.001213842
-6.7,-1.98E-05,-3.56E-04,-0.100959398,90.01530896,-5.389180618,89.99759828,-0.001440824
-6.6,-1.76E-04,-5.10E-04,-0.101111494,90.02634654,-5.865822808,89.99146477,-0.001618448
-6.5,-3.73E-04,-6.74E-04,-0.101257138,90.03735681,-6.072418101,89.98322756,-0.001730474
-6.4,-6.03E-04,-8.34E-04,-0.101394333,90.04685077,-5.919387713,89.97402046,-0.001771434
-6.3,-8.60E-04,-9.75E-04,-0.101513095,90.05369462,-5.320080448,89.96555103,-0.001744947
-6.2,-0.001133424,-0.001087984,-0.101584949,90.05743757,-4.195728858,89.9596839,-0.001657703
-6.1,-0.001417077,-0.001168068,-0.101550743,90.05844843,-2.480439973,89.95785341,-0.001510913
-6,-0.001702202,-0.001213873,-0.101309881,90.05779274,-0.125953718,89.96052401,-0.001292477
-5.9,-0.001977648,-0.001218675,-0.100715034,90.05677504,2.894089463,89.96686926,-9.74E-04
-5.8,-0.002226981,-0.001158088,-0.099576391,90.05640621,6.580631133,89.97488107,-5.13E-04
-5.7,-0.002426577,-9.76E-04,-0.097678818,90.056857,10.90664158,89.98190933,1.33E-04
-5.6,-0.002545146,-5.75E-04,-0.09481249,90.057219,15.81568039,89.98559764,9.90E-04
-5.5,-0.002545267,1.87E-04,-0.090814509,90.05560707,21.22165559,89.98490096,0.002047477
-5.4,-0.002387165,0.001476819,-0.085614756,90.04967847,27.0097867,89.98092579,0.003245805
-5.3,-0.002034735,0.003461545,-0.079276122,90.03750024,33.03869394,89.9771965,0.004471647
-5.2,-0.001463433,0.006258505,-0.072018482,90.01834156,39.14354776,89.9792319,0.005568852
-5.1,-6.69E-04,0.009887533,-0.064217843,89.99328843,45.14010209,89.99335673,0.00636306
-5,3.25E-04,0.014229062,-0.056377798,89.96525733,50.82960186,90.02505564,0.006695756
-4.9,0.001462599,0.019004406,-0.049077634,89.93840103,56.00433418,90.07722462,0.006460027
-4.8,0.002660098,0.023787905,-0.042907953,89.91692008,60.4538814,90.14880501,0.005628859
-4.7,0.003814458,0.028053923,-0.038407933,89.90362854,63.97185912,90.2342575,0.00426792
-4.6,0.004821001,0.031253576,-0.036016479,89.8986425,66.36310835,90.32412913,0.002528229
-4.5,0.005592333,0.03290901,-0.036043037,89.89869714,67.45104137,90.40655585,6.19E-04
-4.4,0.00607513,0.032709077,-0.03865511,89.89735842,67.08497056,90.46955069,-0.00123303
-4.3,0.006260515,0.030588811,-0.043871526,89.88621838,65.14700683,90.50345575,-0.002830863
-4.2,0.006185888,0.026775638,-0.051547103,89.85700566,61.55816589,90.5029913,-0.004046217
-4.1,0.005928088,0.021786196,-0.061337929,89.80398974,56.28329276,90.46839639,-0.004844839
-4,0.005589031,0.016360173,-0.072647989,89.72622803,49.33451102,90.40542204,-0.005290017
-3.9,0.005275637,0.011324208,-0.084575407,89.62904127,40.77286206,90.32412913,-0.005524619
-3.8,0.005076712,0.007393896,-0.095894165,89.52419787,30.70818558,90.2367915,-0.00573616
-3.7,0.005041263,0.004946346,-0.105115064,89.42873914,19.29711319,90.15542346,-0.006113313
-3.6,0.005164751,0.003823455,-0.110657111,89.36256144,6.73947572,90.08947115,-0.006803806
-3.5,0.005389878,0.003242765,-0.111123622,89.34518544,-6.726700705,90.0441187,-0.007882667
-3.4,0.005624457,0.001881001,-0.1056251,89.3923274,-20.83129491,90.01959149,-0.009336846
-3.3,0.005771499,-0.001852935,-0.094047949,89.51296221,-35.27899257,90.01141575,-0.011068228
-3.2,0.005760147,-0.009411152,-0.07716281,89.70734256,-49.75675673,90.01164798,-0.012913147
-3.1,0.0055656,-0.021685652,-0.056511957,89.96636382,-63.94162188,90.01054149,-0.014673566
-3,0.005212601,-0.03871138,-0.034097593,90.27222652,-77.50872715,89.99851352,-0.0161537
-2.9,0.004765778,-0.059590198,-0.011971961,-89.39968352,-89.86055736,269.9679298,-0.017195855
-2.8,0.004314812,-0.082648419,0.008134669,-89.07815236,-78.47056805,269.9144904,-0.017710364
-2.7,0.003960625,-0.105756804,0.025037689,-88.7930671,-68.60335576,269.8380537,-0.017695965
-2.6,0.00380367,-0.126698926,0.038131054,-88.57236319,-60.51107057,269.7428955,-0.017248454
-2.5,0.003931831,-0.143485397,0.04725945,-88.43927013,-54.40880882,269.6373145,-0.01655654
-2.4,0.004405734,-0.154560894,0.052504122,-88.41009156,-50.46824046,269.5326964,-0.015884811
-2.3,0.005242282,-0.158906609,0.053963624,-88.4926344,-48.81222694,269.4420667,-0.015544732
-2.2,0.006400202,-0.156076968,0.051591672,-88.6854643,-49.51071965,269.3782795,-0.015855997
-2.1,0.007772825,-0.146215588,0.045129269,-88.97792617,-52.57813029,269.3520106,-0.017102363
-2,0.009192929,-0.130075663,0.034148272,-89.35107989,-57.97236439,269.3698511,-0.019487972
-1.9,0.010452415,-0.109034896,0.018208979,-89.77943521,-65.59563415,269.4328391,-0.023101517
-1.8,0.011335461,-0.085060887,-0.002885638,-90.2333969,-75.29701628,269.5358178,-0.027895636
-1.7,0.011657659,-0.060564719,-0.028788598,-90.68209252,-86.87680288,269.6678112,-0.033687169
-1.6,0.011297711,-0.038097821,-0.058350794,88.90366835,-79.90766718,89.81355883,-0.040180185
-1.5,0.010207564,-0.019904956,-0.089522831,88.54891515,-65.33478922,89.95602292,-0.047008797
-1.4,0.008395487,-0.00742985,-0.119516157,88.27274329,-49.71053001,90.07938979,-0.053791655
-1.3,0.005892048,-9.37E-04,-0.145244762,88.08759735,-33.35960013,90.17195252,-0.06018634
-1.2,0.002720113,5.86E-04,-0.16395098,87.99961768,-16.61644152,90.2281718,-0.06593083
-1.1,-0.001113586,-8.38E-04,-0.173818216,88.00980149,0.183676087,90.24934539,-0.07086158
-1,-0.005605095,-0.002735231,-0.174353614,88.11556014,16.7130426,90.24259033,-0.074903274
-0.9,-0.010733913,-0.002857214,-0.166406393,88.31212616,32.65918472,90.21835682,-0.078032763
-0.8,-0.016454186,2.64E-04,-0.151834339,88.59327723,47.73163296,90.18698576,-0.080227165
-0.7,-0.022699025,0.007045495,-0.132963911,88.95115866,61.66775628,90.15520489,-0.081411425
-0.6,-0.029386912,0.016898079,-0.112043329,89.37523144,74.23760613,90.12349232,-0.081422082
-0.5,-0.036418188,0.028521864,-0.090851344,89.85066042,85.24784375,90.0851613,-0.080000821
-0.4,-0.04366003,0.040298447,-0.070533164,-89.64315927,85.45529025,270.027489,-0.076824145
-0.3,-0.050929435,0.050659038,-0.051643707,-89.13322418,77.98386243,269.9347965,-0.071565887
-0.2,-0.0579863,0.058346268,-0.034322955,-88.65223543,72.4072452,269.7927696,-0.063979895
-0.1,-0.06454327,0.062548801,-0.018516039,-88.23616079,68.7521446,269.593007,-0.053983548
0,-0.070290446,0.062928408,-0.004168332,-87.92039432,67.0039167,269.3366017,-0.041720862
0.1,-0.074927188,0.059574861,0.008644677,-87.73499566,67.10998954,269.0357592,-0.027586976
0.2,-0.078188732,0.052913796,0.019658582,-87.70013438,68.99097583,268.7130328,-0.012206527
0.3,-0.079873472,0.043630134,0.028449131,-87.82232646,72.5416565,268.3980927,0.003628103
0.4,-0.079865485,0.03259629,0.034527037,-88.09239897,77.6306392,268.122679,0.019056929
