Time,X,Y,Z,Surge,Sway,Heave,Roll,Pitch,Yaw,Sea surface Z,ACCx,ACCy,ACCz,PQRx,PQRy,PQRz,x velocity,y velocity,z velocity,x angular velocity,y angular velocity,z angular velocity
-8,0,0,-0.400000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.9,-5.33E-07,-1.49E-06,-0.399997711,-5.33E-07,-1.49E-06,2.30E-06,-9.60E-07,-1.37E-07,4.52E-07,6.74E-06,-5.61E-04,-0.00170705,0.002723758,-1.64E-05,-2.84E-06,9.62E-06,-2.16E-05,-6.19E-05,9.68E-05,-6.63E-07,-1.01E-07,3.35E-07
-7.8,-6.29E-06,-1.99E-05,-0.399967819,-6.29E-06,-1.99E-05,3.22E-05,-1.03E-05,-1.87E-06,6.49E-06,5.55E-05,-9.12E-04,-0.003809632,0.006754859,-2.09E-05,-5.93E-06,2.37E-05,-9.94E-05,-3.41E-04,5.68E-04,-2.67E-06,-5.57E-07,2.01E-06
-7.7,-2.08E-05,-7.60E-05,-0.399870038,-2.08E-05,-7.60E-05,1.30E-04,-3.12E-05,-6.85E-06,2.60E-05,1.92E-04,-7.81E-04,-0.00552235,0.011227636,-1.60E-05,-5.81E-06,3.51E-05,-1.88E-04,-8.11E-04,0.00146249,-4.53E-06,-1.18E-06,4.98E-06
-7.6,-4.27E-05,-1.87E-04,-0.399659455,-4.27E-05,-1.87E-04,3.41E-04,-6.14E-05,-1.49E-05,6.53E-05,4.66E-04,-2.32E-04,-0.006778314,0.016313873,-1.53E-05,-6.17E-07,4.16E-05,-2.42E-04,-0.001429965,0.002834022,-6.01E-06,-1.55E-06,8.86E-06
-7.5,-6.67E-05,-3.65E-04,-0.399285167,-6.67E-05,-3.65E-04,7.15E-04,-1.01E-04,-2.30E-05,1.28E-04,9.27E-04,6.40E-04,-0.007518489,0.02205266,-2.88E-05,1.08E-05,4.20E-05,-2.23E-04,-0.002149301,0.004747243,-8.07E-06,-1.10E-06,1.31E-05
-7.4,-8.41E-05,-6.18E-04,-0.398689926,-8.41E-05,-6.18E-04,0.00131006,-1.58E-04,-2.47E-05,2.15E-04,0.001626113,0.001713776,-0.00770699,0.028283177,-5.88E-05,2.86E-05,3.65E-05,-1.07E-04,-0.002915243,0.00726119,-1.23E-05,8.22E-07,1.71E-05
-7.3,-8.43E-05,-9.48E-04,-0.39781177,-8.43E-05,-9.48E-04,0.002188219,-2.49E-04,-9.60E-06,3.22E-04,0.002610404,0.002857733,-0.007341899,0.034627014,-9.80E-05,5.25E-05,2.67E-05,1.22E-04,-0.003672223,0.010407855,-2.01E-05,4.83E-06,2.02E-05
-7.2,-5.60E-05,-0.001350757,-0.396587729,-5.60E-05,-0.001350757,0.003412282,-3.96E-04,3.58E-05,4.45E-04,0.003923501,0.003941785,-0.0064588,0.040525584,-1.30E-04,8.13E-05,1.51E-05,4.63E-04,-0.004366365,0.014171843,-3.17E-05,1.15E-05,2.23E-05
-7.1,1.16E-05,-0.001817625,-0.394959301,1.16E-05,-0.001817625,0.005040685,-6.16E-04,1.28E-04,5.76E-04,0.005602987,0.004854337,-0.005126077,0.045327098,-1.33E-04,1.13E-04,4.89E-06,9.04E-04,-0.004949069,0.018476346,-4.52E-05,2.12E-05,2.33E-05
