heading,Period,surge_a,surge_p,sway_a,sway_p,heave_a,heave_p,roll_a,roll_p,pitch_a,pitch_p,yaw_a,yaw_p
0.0,0.5,0.0506,274.2865,0.0002,308.1342,0.0047,73.9165,0.0002,129.2745,0.0678,274.1938,0.0035,47.2486
0.0,0.6,0.1256,257.2774,0.0004,304.2365,0.0122,40.3153,0.0005,125.1759,0.161,257.1797,0.007,47.3922
0.0,0.7,0.2327,256.5412,0.0006,326.549,0.0241,24.1475,0.0008,147.9866,0.2816,256.4154,0.0113,51.1208
0.0,0.8,0.3386,260.836,0.0008,356.1631,0.04,15.0243,0.0009,178.8268,0.3817,260.6726,0.0155,55.7478
0.0,0.9,0.4242,264.6469,0.0007,23.1507,0.0587,9.3941,0.0008,207.9937,0.4394,264.4401,0.0192,58.8715
0.0,1.0,0.4912,267.0151,0.0007,44.5694,0.0781,5.6187,0.0007,232.4866,0.4614,266.761,0.0227,60.5162
0.0,1.2,0.5899,269.0964,0.0005,72.8886,0.1092,0.282,0.0005,266.8968,0.4392,268.7332,0.0294,61.6813
0.0,1.4,0.6599,269.747,0.0004,86.4639,0.1084,352.8857,0.0004,281.1658,0.3733,269.2451,0.0357,61.9526
0.0,1.6,0.7127,269.959,0.0004,84.8621,0.0544,293.4527,0.0004,268.8257,0.2958,269.2713,0.0415,62.0535
0.0,1.8,0.7549,270.0301,0.0005,62.225,0.4173,214.1241,0.0007,230.2587,0.2227,269.0813,0.0472,62.2076
0.0,2.0,0.7903,270.0223,0.002,97.327,3.4004,278.5499,0.0043,278.2671,0.1608,268.5433,0.0533,70.0454
0.0,2.2,0.8208,270.0751,0.0008,153.8803,1.5964,349.5927,0.0018,344.0059,0.1109,268.2213,0.0509,65.193
0.0,2.4,0.8474,270.0904,0.0006,154.3997,1.1897,356.1029,0.0012,348.789,0.072,267.3784,0.0542,64.5553
0.0,2.6,0.871,270.1034,0.0005,153.1088,1.0635,357.9598,0.001,350.0842,0.0423,265.7459,0.0567,64.672
0.0,2.8,0.8921,270.1164,0.0004,151.7749,1.0101,358.7494,0.0008,350.7454,0.0202,261.5175,0.0587,64.9652
0.0,3.0,0.9109,270.1294,0.0004,150.4511,0.9846,359.1584,0.0007,351.1988,0.0045,231.2352,0.0603,65.3279
0.0,3.2,0.9278,270.1424,0.0003,149.1016,0.9718,359.3975,0.0007,351.551,0.0089,107.2534,0.0617,65.7246
0.0,3.4,0.943,270.1553,0.0003,147.7072,0.9656,359.5491,0.0006,351.84,0.0174,98.248,0.0628,66.1399
0.0,3.6,0.9566,270.1679,0.0003,146.2642,0.9628,359.6512,0.0006,352.0835,0.0235,95.7414,0.0637,66.5656
0.0,3.8,0.9689,270.1802,0.0003,144.7773,0.9621,359.7232,0.0005,352.2921,0.0278,94.5812,0.0645,66.9971
