Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3,Elevation
-8,0,0,-0.100000002,90.0000025,0,90.0000025,0
-7.9,-2.95E-09,-8.07E-10,-0.099998228,90.0000025,-1.67E-07,90.0000025,4.81E-06
-7.8,1.33E-06,-1.09E-08,-0.099976107,90.000023,-2.37E-06,90.0000025,3.74E-05
-7.7,1.05E-05,-4.21E-08,-0.099908233,90.00007764,-9.56E-06,90.0000025,1.22E-04
-7.6,3.96E-05,-1.04E-07,-0.099773981,90.00012545,-2.47E-05,90.0000025,2.77E-04
-7.5,1.05E-04,-2.04E-07,-0.09955886,90.00012545,-5.06E-05,90.0000025,5.15E-04
-7.4,2.28E-04,-3.46E-07,-0.099255502,89.99999567,-8.96E-05,90.00000933,8.41E-04
-7.3,4.31E-04,-5.31E-07,-0.098864369,89.99962684,-1.44E-04,90.00001616,0.001252233
-7.2,7.38E-04,-7.55E-07,-0.098394126,89.99890967,-2.14E-04,90.00001616,0.001736271
-7.1,0.001172797,-1.01E-06,-0.097861789,89.99771439,-3.01E-04,90.000023,0.002273827
-7,0.001759703,-1.29E-06,-0.097292565,89.99589756,-4.04E-04,90.00002983,0.002837131
-6.9,0.002519256,-1.58E-06,-0.096719414,89.99332941,-5.22E-04,90.00003666,0.003390951
-6.8,0.003469093,-1.85E-06,-0.096182346,89.98988016,-6.53E-04,90.00004349,0.003893397
-6.7,0.004622501,-2.10E-06,-0.095727578,89.98542688,-7.94E-04,90.00004349,0.004296943
-6.6,0.005987528,-2.29E-06,-0.095406324,89.97986711,-9.39E-04,90.00004349,0.004549648
-6.5,0.007566228,-2.40E-06,-0.095273592,89.97311205,-0.001084712,90.00004349,0.004596512
-6.4,0.009354059,-2.41E-06,-0.095386706,89.9651139,-0.001224777,90.00004349,0.004380968
-6.3,0.011339445,-2.29E-06,-0.095803782,89.9558385,-0.001352772,90.00003666,0.003846436
-6.2,0.01350352,-2.00E-06,-0.0965821,89.94529952,-0.001461692,90.000023,0.00293793
-6.1,0.015820047,-1.54E-06,-0.097776517,89.9335311,-0.00154414,90.00000933,0.001603653
-6,0.018255526,-8.63E-07,-0.099437781,89.92061522,-0.001592496,89.99998201,-2.03E-04
-5.9,0.020769484,4.22E-08,-0.101610944,89.90666797,-0.001599088,89.99995469,-0.002524119
-5.8,0.023314945,1.20E-06,-0.10433387,89.89185329,-0.001556375,89.99992054,-0.005391552
-5.7,0.025839066,2.61E-06,-0.107635833,89.87634876,-0.001457137,89.99987956,-0.008829992
-5.6,0.028283929,4.31E-06,-0.111536235,89.86040027,-0.001294655,89.99983175,-0.012853706
-5.5,0.030587483,6.28E-06,-0.11604353,89.8442537,-0.001062897,89.99977028,-0.017466063
-5.4,0.032684609,8.54E-06,-0.121154338,89.82820959,-7.57E-04,89.99970881,-0.022658822
-5.3,0.034508277,1.11E-05,-0.126852781,89.81257528,-3.72E-04,89.9996405,-0.028411636
